Admin0,Admin1,Admin2,FIPS,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
"US","Alabama","Autauga",1001,55869,15358,177,27489.31,3168.13,0.0115
"US","Alabama","Baldwin",1003,223234,54572,628,24446.10,2813.19,0.0115
"US","Alabama","Barbour",1005,24685,5416,90,21940.45,3645.94,0.0166
"US","Alabama","Bibb",1007,22394,6333,98,28279.90,4376.17,0.0155
"US","Alabama","Blount",1009,57826,14585,213,25222.22,3683.46,0.0146
"US","Alabama","Bullock",1011,10101,2268,49,22453.22,4851.00,0.0216
"US","Alabama","Butler",1013,19448,5007,112,25745.58,5758.95,0.0224
"US","Alabama","Calhoun",1015,113605,31269,568,27524.32,4999.78,0.0182
"US","Alabama","Chambers",1017,33254,8386,149,25218.02,4480.66,0.0178
"US","Alabama","Cherokee",1019,26196,5019,74,19159.41,2824.86,0.0147
"US","Alabama","Chilton",1021,44428,10381,185,23365.90,4164.04,0.0178
"US","Alabama","Choctaw",1023,12588,1954,33,15522.72,2621.54,0.0169
"US","Alabama","Clarke",1025,23622,6977,93,29536.03,3937.01,0.0133
"US","Alabama","Clay",1027,13235,4042,73,30540.23,5515.68,0.0181
"US","Alabama","Cleburne",1029,14909,3512,65,23556.24,4359.78,0.0185
"US","Alabama","Coffee",1031,52342,13231,214,25277.98,4088.49,0.0162
"US","Alabama","Colbert",1033,55240,15965,224,28901.16,4055.03,0.0140
"US","Alabama","Conecuh",1035,12067,2819,63,23361.23,5220.85,0.0223
"US","Alabama","Coosa",1037,10663,2871,53,26924.88,4970.46,0.0185
"US","Alabama","Covington",1039,37049,9152,213,24702.42,5749.14,0.0233
"US","Alabama","Crenshaw",1041,13771,3752,84,27245.66,6099.77,0.0224
"US","Alabama","Cullman",1043,83768,24098,333,28767.55,3975.27,0.0138
"US","Alabama","Dale",1045,49172,12345,212,25105.75,4311.40,0.0172
"US","Alabama","Dallas",1047,37196,8212,227,22077.64,6102.81,0.0276
"US","Alabama","DeKalb",1049,71512,18386,301,25710.37,4209.08,0.0164
"US","Alabama","Elmore",1051,81209,22741,319,28003.05,3928.14,0.0140
"US","Alabama","Escambia",1053,36633,9903,153,27033.00,4176.56,0.0154
"US","Alabama","Etowah",1055,102268,28415,563,27784.84,5505.14,0.0198
"US","Alabama","Fayette",1057,16302,4547,89,27892.28,5459.45,0.0196
"US","Alabama","Franklin",1059,31362,9711,124,30964.22,3953.83,0.0128
"US","Alabama","Geneva",1061,26271,6119,147,23291.84,5595.52,0.0240
"US","Alabama","Greene",1063,8111,1799,48,22179.76,5917.89,0.0267
"US","Alabama","Hale",1065,14651,4559,96,31117.33,6552.45,0.0211
"US","Alabama","Henry",1067,17205,4393,68,25533.28,3952.34,0.0155
"US","Alabama","Houston",1069,105882,24641,459,23272.13,4335.01,0.0186
"US","Alabama","Jackson",1071,51625,14786,216,28641.16,4184.02,0.0146
"US","Alabama","Jefferson",1073,658573,180835,2161,27458.61,3281.34,0.0120
"US","Alabama","Lamar",1075,13805,3550,62,25715.32,4491.13,0.0175
"US","Alabama","Lauderdale",1077,92729,23651,352,25505.51,3796.01,0.0149
"US","Alabama","Lawrence",1079,32924,7438,145,22591.42,4404.08,0.0195
"US","Alabama","Lee",1081,164541,37334,292,22689.79,1774.63,0.0078
"US","Alabama","Limestone",1083,98915,24356,252,24623.16,2547.64,0.0103
"US","Alabama","Lowndes",1085,9726,2591,69,26639.93,7094.39,0.0266
"US","Alabama","Macon",1087,18068,3802,72,21042.73,3984.95,0.0189
"US","Alabama","Madison",1089,372909,87062,843,23346.71,2260.61,0.0097
"US","Alabama","Marengo",1091,18863,4822,97,25563.27,5142.34,0.0201
"US","Alabama","Marion",1093,29709,7866,139,26476.83,4678.72,0.0177
"US","Alabama","Marshall",1095,96774,26967,352,27865.96,3637.34,0.0131
"US","Alabama","Mobile",1097,413209,110844,1521,26825.17,3680.95,0.0137
"US","Alabama","Monroe",1099,20733,5227,71,25211.02,3424.49,0.0136
"US","Alabama","Montgomery",1101,226486,53990,838,23838.12,3700.01,0.0155
"US","Alabama","Morgan",1103,119679,35423,463,29598.34,3868.68,0.0131
"US","Alabama","Out of AL",80001,-1,0,0,0.00,0.00,0.0000
"US","Alabama","Perry",1105,8923,2026,41,22705.37,4594.87,0.0202
"US","Alabama","Pickens",1107,19930,5018,95,25178.12,4766.68,0.0189
"US","Alabama","Pike",1109,33114,7360,120,22226.25,3623.84,0.0163
"US","Alabama","Randolph",1111,22722,5026,72,22119.53,3168.74,0.0143
"US","Alabama","Russell",1113,57960,9921,75,17116.98,1294.00,0.0076
"US","Alabama","Shelby",1117,217702,58241,405,26752.63,1860.34,0.0070
"US","Alabama","St. Clair",1115,89512,24757,384,27657.74,4289.93,0.0155
"US","Alabama","Sumter",1119,12426,2391,44,19241.91,3540.96,0.0184
"US","Alabama","Talladega",1121,79978,21667,331,27091.20,4138.64,0.0153
"US","Alabama","Tallapoosa",1123,40367,11209,216,27767.73,5350.91,0.0193
"US","Alabama","Tuscaloosa",1125,209355,53514,704,25561.37,3362.71,0.0132
"US","Alabama","Unassigned",90001,-1,0,0,0.00,0.00,0.0000
"US","Alabama","Walker",1127,63521,18258,402,28743.25,6328.62,0.0220
"US","Alabama","Washington",1129,16326,3645,53,22326.35,3246.36,0.0145
"US","Alabama","Wilcox",1131,10373,2822,40,27205.24,3856.17,0.0142
"US","Alabama","Winston",1133,23629,7414,116,31376.70,4909.22,0.0156
